imageName,original_glrlm_LongRunHighGrayLevelEmphasis,wavelet2-LLH_firstorder_Energy,wavelet2-LHL_glszm_ZonePercentage,wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,log-sigma-2-0-mm-3D_firstorder_Maximum,original_glszm_GrayLevelNonUniformity,original_glcm_MCC,wavelet2-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,original_shape_Maximum2DDiameterColumn,original_gldm_LargeDependenceHighGrayLevelEmphasis,wavelet2-LLL_glrlm_LongRunHighGrayLevelEmphasis,wavelet2-LLH_firstorder_Range,wavelet-HLL_glrlm_GrayLevelVariance,wavelet2-HHH_firstorder_Skewness,original_glszm_SizeZoneNonUniformity,wavelet2-LHH_glszm_ZonePercentage,wavelet-LHH_glszm_HighGrayLevelZoneEmphasis,wavelet2-LLL_gldm_DependenceEntropy,original_glrlm_HighGrayLevelRunEmphasis,wavelet2-LLL_glcm_JointEntropy,wavelet2-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,original_ngtdm_Busyness,wavelet2-LLL_glcm_Correlation,wavelet2-LHH_glszm_HighGrayLevelZoneEmphasis,wavelet-HLL_glrlm_GrayLevelNonUniformityNormalized,wavelet-HHL_firstorder_Uniformity,wavelet2-HHH_gldm_DependenceEntropy,original_gldm_SmallDependenceLowGrayLevelEmphasis,wavelet-HHH_ngtdm_Complexity,wavelet2-LLL_glcm_MCC,wavelet2-HHL_glszm_ZonePercentage,original_glrlm_GrayLevelNonUniformityNormalized,wavelet-HLH_glcm_Id,wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,wavelet2-HLL_glrlm_HighGrayLevelRunEmphasis,wavelet-HHL_glszm_GrayLevelNonUniformity,original_gldm_LowGrayLevelEmphasis,wavelet-HLH_glszm_SmallAreaLowGrayLevelEmphasis
9002518182,177.03700934878424,281.77880694603573,0.0008262384596041,0.6474237930353475,0.2212013304233551,1.0,1.0,614.5003771958185,59.07622195096772,614.5003771958185,177.03700934878424,1.4767819862306777,0.2493396021279004,-0.3190530591389942,1.0,0.0004310809354456,2.7142857142857144,2.407045149145376,1.0,-3.2034265038149176e-16,177.25410424973956,56.5,0.0,1.0,2.5,0.5013207957441992,0.5000143251006572,4.549799348366122,0.002042958342566,0.5065479398240603,1.0,0.0004670043467327,1.0,0.755496212386734,0.6440530105470176,2.405948830453261,6.0,1.0,0.3866442205556507
9002572354,134.02193888413925,74.72616271430105,0.0013068880688806,0.6487116005373459,0.1923791766166687,7.0,1.0,600.2037207872079,93.00537618869136,600.2037207872079,134.02193888413925,1.2696201062401462,0.2485520868210198,-0.3073186424290025,2.7142857142857144,0.0010762607626076,3.2,2.582905928815906,1.0,-3.2034265038149176e-16,187.9990390528905,37.96,0.0,1.0,3.357142857142857,0.5028958263579603,0.5008552902064999,4.668368178074703,0.0024902606248159,0.4899483135697928,1.0,0.0015375153751537,1.0,0.7697965448089226,0.6533054648141647,2.378713680656263,6.846153846153846,1.0,0.4393518537366215
P14509571,1353.4743294617338,1625.96756367833,0.0004292357219506,0.6455907309285901,0.2327822148799896,17.105263157894736,0.0221454493503316,2568.274448551329,61.40032573203501,2567.577846667461,1361.1734142171167,3.66258721949402,0.249520297957957,-0.189284161868788,15.31578947368421,0.0005484678669369,2.875,1.9313230406301125,3.980603640457297,0.0011972949036178,156.2717717896745,139.01418439716312,2.5719647007706947,0.0768855607211791,2.565217391304348,0.5009594040840859,0.5096142663116705,4.384424154016881,0.0009050235945191,0.4448386395824441,3.751620203995442e-05,0.0008107785859067,0.9871634964356312,0.7895726038855664,0.641216812889041,2.427230120466123,10.714285714285714,0.2503398116132109,0.2532991301345328
9002446863,111.53058149728191,63.59341060440311,0.0022450288646568,0.659200091491173,0.0135826133191585,1.0,1.0,594.7950609364977,27.784887978899608,594.7950609364977,111.53058149728191,1.0895145652930944,0.2473832559760744,-0.1915209236377294,1.0,0.00096215522771,3.0,2.666794897898565,1.0,-3.2034265038149176e-16,175.59280788967286,6.25,0.0,1.0,2.5,0.5052334880478512,0.5037215370126324,4.653147782078143,0.0021430280805429,0.4898019032583303,1.0,0.0008017960230917,1.0,0.7697935042961122,0.6631049588621483,2.3409216618373785,2.5,1.0,0.1250000300760641
9001577951,1317.5538334545438,4130.082989615987,0.0008297349928033,0.6395980572809498,0.5448175668716431,53.79365079365079,0.0743838957229067,2543.156752180171,77.20103626247513,2541.2341376682757,1335.9598054169255,4.060068154046019,0.2496678114245857,-0.450394535739904,26.65079365079365,0.0011684023368046,2.224489795918368,2.020213113229764,3.9390857885291553,0.0051371910917354,163.6516806366946,213.5589519650655,11.765438840638035,0.1344924702279176,1.6521739130434785,0.5006643771508286,0.5913418430421091,4.864626913313335,0.0013272828012031,0.2824899215970025,0.134580555810206,0.0009821352976039,0.9603028170974792,0.8746995102814417,0.6381037493597278,2.4301353123677023,23.043478260869566,0.2511938023876047,0.2944665921128536
9002404282,87.32996113314292,19.33221864830405,0.0013223140495867,0.6409295213780875,0.1294098049402237,1.0,1.0,571.9557024793388,33.28663395418648,571.9557024793388,87.32996113314292,1.14179393224407,0.2483473621149946,0.0550329207698556,1.0,0.0008264462809917,3.0,2.960892953816345,1.0,-3.2034265038149176e-16,163.6643388429752,28.066666666666663,0.0,1.0,1.6,0.5033052757700106,0.5002168704323475,4.719448201403067,0.0024211386106083,0.4892086107383994,1.0,0.0011570247933884,1.0,0.7684935802984649,0.6552328909064495,2.3687968572908717,2.0,1.0,0.31250003276897
9002672017,1871.0501823488216,3413.748829191039,0.0014509241397503,0.6504587685615074,0.5525802373886108,5.285714285714286,0.0307996708871234,2623.419201661968,66.75327707311455,2623.3086511351835,1873.3517635816288,3.6820506906882575,0.2495307854415589,-0.1304564738028049,3.857142857142857,0.0003792188092529,3.125,1.7085131657937618,3.9941554323975694,0.0003807170080897,151.1839540980363,157.0496894409938,0.8317088817672472,0.1538353485315191,1.9130434782608696,0.5009384291168821,0.6159333789593768,4.743072370099495,0.0005475394840098,0.2676878471896157,1.0805313507362288e-05,0.0004946332294603,0.996112141513147,0.8781929730203003,0.6410109342536364,2.439776815606928,9.526315789473683,0.2500865608151555,0.4239885267345514
9001668773,619.1385758999635,619.6179719317814,0.0011872845653006,0.6381090739261549,0.389217734336853,1.6666666666666667,4.173552495189061e-05,596.7754117196476,58.30951894845301,2386.897663730372,154.9234689039751,3.1026792622112254,0.2495004838870453,-0.0774149531298899,1.6666666666666667,0.0010340865568747,2.4444444444444446,2.668745886614836,3.9979205789659455,-3.2034265038149176e-16,153.42142857142858,128.13432835820896,0.3511608733626512,1.0,2.6666666666666665,0.5009990322259094,0.5004348482343725,4.5921264184740895,0.0006807198718048,0.4743801073372399,1.0,0.0014553810800459,0.9986147643822902,0.7731317882913386,0.6414955015057965,2.432547215500105,17.666666666666668,0.2500574492531597,0.5039149363710447
9002666628,761.6430018812124,465.14892910470775,0.0011089268612329,0.6353890053828848,0.292324960231781,8.125,0.0745245369437118,2473.171026765462,53.03772242470448,2472.155400977872,765.2268884688159,4.017710466674291,0.2496921950261023,-0.0627732484534983,10.875,0.0009577095619738,2.2857142857142856,2.2561810245072853,3.979518850118864,0.0018420527825168,156.0317808357276,90.9423076923077,1.9287854065512968,-6.003551183002506e-05,2.5789473684210527,0.5006156099477953,0.5013139303831958,4.447074797021986,0.0009945903200065,0.5027473006534868,6.003551220013295e-05,0.0012601441604919,0.9864441475251122,0.7546516997758638,0.63789885133597,2.449008925611412,9.0,0.2504914562225919,0.3773148158469679
9001734875,1000.6372008125855,2822.526087245676,0.0007707129094412,0.6420156385570924,0.8502757549285889,64.03030303030303,0.2954288958096299,2504.8792820200792,71.84705978674423,2494.538991988642,1055.6449088815475,5.132784645829411,0.2497152689564901,-0.047627256588902,16.96969696969697,0.0007301490721022,2.3448275862068964,2.255102013784,3.8655726925901295,0.030071958745713,168.95807727411014,219.2183406113537,35.56087867925172,0.3361593962768318,2.5,0.5005694620870196,0.5091038087359743,4.499412004725856,0.0014693232734179,0.4361685048035619,0.3361593962617221,0.0009938140148058,0.9145941547022958,0.7954994237078794,0.6372179241742013,2.451500295290437,18.05555555555556,0.253757225433526,0.5069388502317199
